Year,YEAR,Crop,Precipitation,Temperature (Avg),Temperature (Max),Pesticide Usage,Fertilizer Usage,Yield
2016,2016-01-01,"Almonds, in shell",801.73,21.75,29.36,47421.33,2186326.67,14000
2017,2017-01-01,"Almonds, in shell",795.08,22.03,29.75,50801.94,2139573.61,14242
2018,2018-01-01,"Almonds, in shell",783.02,21.66,29.18,53144.44,2140490.9,14242
2019,2019-01-01,"Almonds, in shell",721.02,21.88,29.46,48989.2,2086911.73,14118
2020,2020-01-01,"Almonds, in shell",691.92,22.08,29.92,41681.11,2139664.12,14545
2016,2016-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",801.73,21.75,29.36,47421.33,2186326.67,114028
2017,2017-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",795.08,22.03,29.75,50801.94,2139573.61,174934
2018,2018-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",783.02,21.66,29.18,53144.44,2140490.9,164995
2019,2019-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",721.02,21.88,29.46,48989.2,2086911.73,141654
2020,2020-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",691.92,22.08,29.92,41681.11,2139664.12,158135
2016,2016-01-01,Apples,801.73,21.75,29.36,47421.33,2186326.67,132158
2017,2017-01-01,Apples,795.08,22.03,29.75,50801.94,2139573.61,133190
2018,2018-01-01,Apples,783.02,21.66,29.18,53144.44,2140490.9,125922
2019,2019-01-01,Apples,721.02,21.88,29.46,48989.2,2086911.73,143728
2020,2020-01-01,Apples,691.92,22.08,29.92,41681.11,2139664.12,125948
2016,2016-01-01,Apricots,801.73,21.75,29.36,47421.33,2186326.67,50778
2017,2017-01-01,Apricots,795.08,22.03,29.75,50801.94,2139573.61,51104
2018,2018-01-01,Apricots,783.02,21.66,29.18,53144.44,2140490.9,56000
2019,2019-01-01,Apricots,721.02,21.88,29.46,48989.2,2086911.73,52270
2020,2020-01-01,Apricots,691.92,22.08,29.92,41681.11,2139664.12,52850
2016,2016-01-01,Artichokes,801.73,21.75,29.36,47421.33,2186326.67,143842
2017,2017-01-01,Artichokes,795.08,22.03,29.75,50801.94,2139573.61,122910
2018,2018-01-01,Artichokes,783.02,21.66,29.18,53144.44,2140490.9,131927
2019,2019-01-01,Artichokes,721.02,21.88,29.46,48989.2,2086911.73,137184
2020,2020-01-01,Artichokes,691.92,22.08,29.92,41681.11,2139664.12,127724
2016,2016-01-01,Asparagus,801.73,21.75,29.36,47421.33,2186326.67,87480
2017,2017-01-01,Asparagus,795.08,22.03,29.75,50801.94,2139573.61,93990
2018,2018-01-01,Asparagus,783.02,21.66,29.18,53144.44,2140490.9,90180
2019,2019-01-01,Asparagus,721.02,21.88,29.46,48989.2,2086911.73,88257
