Crop,Year,Yield,Temperature (Avg),Precipitation,Export Quantity,Fertilizer Usage
Avocados,1961,48990,8.45,738.74,,7466210.65
Avocados,1962,44532,8.74,677.47,,8274858.92
Avocados,1963,50850,8.9,630.36,,9169916.54
Avocados,1964,31137,8.3,705.13,,9793376.58
Avocados,1965,57109,8.46,715.33,,10803761.2
Avocados,1966,57605,8.27,646.42,,12166430.2
Avocados,1967,75282,8.69,704.24,,13301982.2
Avocados,1968,47811,8.33,701.98,,13911076.9
Avocados,1969,70788,8.57,706.76,,14408054.1
Avocados,1970,43462,8.53,693.77,,15218708.2
Avocados,1971,78900,8.29,710.77,,15592170
Avocados,1972,40829,8.19,731.56,,16076944.6
Avocados,1973,75050,8.75,801.3,,17123275.9
Avocados,1974,55498,8.67,714.46,,16540771.1
Avocados,1975,59916,8.25,764.98,,17835812.4
Avocados,1976,83134,8.4,627.3,,19615899.5
Avocados,1977,59287,9.08,709.96,,19179845.8
Avocados,1978,63967,8.56,707.88,6048,19797629.5
Avocados,1979,38602,8.39,772.08,7761,20796897.4
Avocados,1980,89816,8.92,675.76,10268,21297411.8
Avocados,1981,56137,9.51,714.44,18747,20196413.9
Avocados,1982,68039,8.32,796.71,7486,17507753.8
Avocados,1983,74001,8.71,800.98,8427,18551958.6
Avocados,1984,61253,8.6,728.02,12913,19745702.6
Avocados,1985,49594,8.38,718.2,5445,18506074.6
Avocados,1986,78723,9.37,742.34,5677,17490244.9
Avocados,1987,54420,9.44,694.83,13512,17609132.7
Avocados,1988,50086,9.06,628.8,13384,17762215.4
Avocados,1989,36277,8.65,708.78,7299,18349757.8
Avocados,1990,41876,9.36,769.34,6849,18649535.5
Avocados,1991,50315,9.34,758.04,6829,18715635.5
Avocados,1992,80186,8.89,746.13,8011,18923983.5
Avocados,1993,44161,8.71,772.81,16593,19898612.9
Avocados,1994,58364,9.23,728.78,14259,19659910.2
Avocados,1995,63461,9.24,747.15,28878,19779137.3
Avocados,1996,64964,8.58,771.15,21678,20204780
Avocados,1997,60333,8.74,739.33,12503,20221133.1
Avocados,1998,54405,9.8,782.11,12509,19859884.8
Avocados,1999,63088,9.22,680.84,12735,19616704.2
Avocados,2000,82247,9.2,682.51,10391,19071525.9
Avocados,2001,77450,9.42,693.25,9361,19316848.4
Avocados,2002,68087,9.44,688.43,10490,19352971.2
Avocados,2003,78207,9.42,718.7,6709,21203083.7
Avocados,2004,58564,9.38,769.28,7454,20092236
Avocados,2005,103595,9.65,715.75,5123,19273411.1
Avocados,2006,84967,9.81,704.67,6583,20773985.3
Avocados,2007,65052,9.62,682.08,9567,19475350.4
Avocados,2008,35704,8.78,727.86,18459,16038481.2
Avocados,2009,100978,8.92,745.58,11624,18918611.2
Avocados,2010,65208,9.34,725.79,28592,19667310.7
Avocados,2011,84676,9.36,726.78,17919,20362667.8
Avocados,2012,95398,10.06,677.78,29630,20910153.7
Avocados,2013,67067,9.07,765.43,43211,21086056.9
